"id","scale","TextQual","rater"
"bdff457de7","ratingScale7",3,"one"
"bdff457de7","ratingScale8",2,"one"
"dc69f45fe3","ratingScale1",4,"one"
"dc69f45fe3","ratingScale2",3,"one"
"dc69f45fe3","ratingScale3",4,"one"
"dc69f45fe3","ratingScale4",3,"one"
"dc69f45fe3","ratingScale5",4,"one"
"dc69f45fe3","ratingScale6",3,"one"
"dc69f45fe3","ratingScale7",3,"one"
"dc69f45fe3","ratingScale8",3,"one"
"cc0e9a3eb6","ratingScale1",5,"one"
"cc0e9a3eb6","ratingScale2",5,"one"
"cc0e9a3eb6","ratingScale3",5,"one"
"cc0e9a3eb6","ratingScale4",5,"one"
"cc0e9a3eb6","ratingScale5",5,"one"
"cc0e9a3eb6","ratingScale6",4,"one"
"cc0e9a3eb6","ratingScale7",4,"one"
"cc0e9a3eb6","ratingScale8",5,"one"
"f33443b790","ratingScale1",3,"one"
"f33443b790","ratingScale2",2,"one"
"f33443b790","ratingScale3",2,"one"
"f33443b790","ratingScale4",3,"one"
"f33443b790","ratingScale5",2,"one"
"f33443b790","ratingScale6",1,"one"
"f33443b790","ratingScale7",3,"one"
"f33443b790","ratingScale8",2,"one"
"52f1350cbd","ratingScale1",4,"one"
"52f1350cbd","ratingScale2",3,"one"
"52f1350cbd","ratingScale3",3,"one"
"52f1350cbd","ratingScale4",3,"one"
"52f1350cbd","ratingScale5",3,"one"
"52f1350cbd","ratingScale6",4,"one"
"52f1350cbd","ratingScale7",3,"one"
"52f1350cbd","ratingScale8",3,"one"
"95ab37db55","ratingScale1",4,"one"
"95ab37db55","ratingScale2",3,"one"
"95ab37db55","ratingScale3",3,"one"
"95ab37db55","ratingScale4",3,"one"
"95ab37db55","ratingScale5",3,"one"
"95ab37db55","ratingScale6",4,"one"
"95ab37db55","ratingScale7",5,"one"
"95ab37db55","ratingScale8",4,"one"
"618ad8763c","ratingScale1",4,"one"
"618ad8763c","ratingScale2",3,"one"
"618ad8763c","ratingScale3",3,"one"
"618ad8763c","ratingScale4",3,"one"
"618ad8763c","ratingScale5",3,"one"
"618ad8763c","ratingScale6",3,"one"
"618ad8763c","ratingScale7",3,"one"
"618ad8763c","ratingScale8",3,"one"
"8b286885ae","ratingScale1",5,"one"
"8b286885ae","ratingScale2",4,"one"
"8b286885ae","ratingScale3",5,"one"
"8b286885ae","ratingScale4",4,"one"
"8b286885ae","ratingScale5",4,"one"
"8b286885ae","ratingScale6",1,"one"
"8b286885ae","ratingScale7",3,"one"
"8b286885ae","ratingScale8",3,"one"
"c0c3a4c8a7","ratingScale1",5,"one"
"c0c3a4c8a7","ratingScale2",4,"one"
"c0c3a4c8a7","ratingScale3",3,"one"
"c0c3a4c8a7","ratingScale4",4,"one"
"c0c3a4c8a7","ratingScale5",4,"one"
"c0c3a4c8a7","ratingScale6",2,"one"
"c0c3a4c8a7","ratingScale7",5,"one"
"c0c3a4c8a7","ratingScale8",4,"one"
"458a7110b8","ratingScale1",3,"one"
"458a7110b8","ratingScale2",4,"one"
"458a7110b8","ratingScale3",3,"one"
"458a7110b8","ratingScale4",3,"one"
"458a7110b8","ratingScale5",3,"one"
"458a7110b8","ratingScale6",4,"one"
"458a7110b8","ratingScale7",3,"one"
"458a7110b8","ratingScale8",4,"one"
"198cce925f","ratingScale1",4,"one"
"198cce925f","ratingScale2",4,"one"
"198cce925f","ratingScale3",3,"one"
"198cce925f","ratingScale4",3,"one"
"198cce925f","ratingScale5",3,"one"
"198cce925f","ratingScale6",2,"one"
"198cce925f","ratingScale7",3,"one"
"198cce925f","ratingScale8",2,"one"
"f1590deb63","ratingScale1",5,"one"
"f1590deb63","ratingScale2",4,"one"
"f1590deb63","ratingScale3",3,"one"
"f1590deb63","ratingScale4",4,"one"
"f1590deb63","ratingScale5",4,"one"
"f1590deb63","ratingScale6",4,"one"
"f1590deb63","ratingScale7",4,"one"
"f1590deb63","ratingScale8",4,"one"
"174b5ab76f","ratingScale1",4,"one"
"174b5ab76f","ratingScale2",3,"one"
"174b5ab76f","ratingScale3",3,"one"
"174b5ab76f","ratingScale4",3,"one"
"174b5ab76f","ratingScale5",4,"one"
"174b5ab76f","ratingScale6",2,"one"
"174b5ab76f","ratingScale7",3,"one"
"174b5ab76f","ratingScale8",3,"one"
"a08d32281e","ratingScale1",4,"one"
"a08d32281e","ratingScale2",4,"one"
"a08d32281e","ratingScale3",3,"one"
"a08d32281e","ratingScale4",3,"one"
"a08d32281e","ratingScale5",4,"one"
"a08d32281e","ratingScale6",1,"one"
"a08d32281e","ratingScale7",4,"one"
"a08d32281e","ratingScale8",4,"one"
"890a64333a","ratingScale1",5,"one"
"890a64333a","ratingScale2",5,"one"
"890a64333a","ratingScale3",5,"one"
"890a64333a","ratingScale4",5,"one"
"890a64333a","ratingScale5",5,"one"
"890a64333a","ratingScale6",4,"one"
"890a64333a","ratingScale7",4,"one"
"890a64333a","ratingScale8",4,"one"
"a65b0bc30f","ratingScale1",4,"one"
"a65b0bc30f","ratingScale2",3,"one"
"a65b0bc30f","ratingScale3",2,"one"
"a65b0bc30f","ratingScale4",3,"one"
"a65b0bc30f","ratingScale5",3,"one"
"a65b0bc30f","ratingScale6",1,"one"
"a65b0bc30f","ratingScale7",3,"one"
"a65b0bc30f","ratingScale8",2,"one"
"b81064b78a","ratingScale1",3,"one"
"b81064b78a","ratingScale2",3,"one"
"b81064b78a","ratingScale3",2,"one"
"b81064b78a","ratingScale4",3,"one"
"b81064b78a","ratingScale5",3,"one"
"b81064b78a","ratingScale6",2,"one"
"b81064b78a","ratingScale7",3,"one"
"b81064b78a","ratingScale8",2,"one"
"3f89ee5dec","ratingScale1",4,"one"
"3f89ee5dec","ratingScale2",4,"one"
"3f89ee5dec","ratingScale3",3,"one"
"3f89ee5dec","ratingScale4",4,"one"
"3f89ee5dec","ratingScale5",4,"one"
"3f89ee5dec","ratingScale6",3,"one"
"3f89ee5dec","ratingScale7",4,"one"
"3f89ee5dec","ratingScale8",2,"one"
"a156fc2724","ratingScale1",4,"one"
"a156fc2724","ratingScale2",3,"one"
"a156fc2724","ratingScale3",3,"one"
"a156fc2724","ratingScale4",4,"one"
"a156fc2724","ratingScale5",3,"one"
"a156fc2724","ratingScale6",4,"one"
"a156fc2724","ratingScale7",3,"one"
"a156fc2724","ratingScale8",2,"one"
"35c65d8efb","ratingScale1",5,"one"
"35c65d8efb","ratingScale2",4,"one"
"35c65d8efb","ratingScale3",3,"one"
"35c65d8efb","ratingScale4",4,"one"
"35c65d8efb","ratingScale5",4,"one"
"35c65d8efb","ratingScale6",1,"one"
"35c65d8efb","ratingScale7",4,"one"
"35c65d8efb","ratingScale8",3,"one"
"d6bce6f35a","ratingScale1",5,"one"
"d6bce6f35a","ratingScale2",4,"one"
"d6bce6f35a","ratingScale3",4,"one"
"d6bce6f35a","ratingScale4",4,"one"
"d6bce6f35a","ratingScale5",5,"one"
"d6bce6f35a","ratingScale6",4,"one"
"d6bce6f35a","ratingScale7",4,"one"
"d6bce6f35a","ratingScale8",5,"one"
"a4fb235176","ratingScale1",3,"one"
"a4fb235176","ratingScale2",3,"one"
"a4fb235176","ratingScale3",3,"one"
"a4fb235176","ratingScale4",3,"one"
"a4fb235176","ratingScale5",4,"one"
"a4fb235176","ratingScale6",1,"one"
"a4fb235176","ratingScale7",3,"one"
"a4fb235176","ratingScale8",2,"one"
"2f80e711b2","ratingScale1",4,"one"
"2f80e711b2","ratingScale2",3,"one"
"2f80e711b2","ratingScale3",3,"one"
"2f80e711b2","ratingScale4",4,"one"
"2f80e711b2","ratingScale5",4,"one"
"2f80e711b2","ratingScale6",4,"one"
"2f80e711b2","ratingScale7",4,"one"
"2f80e711b2","ratingScale8",4,"one"
"30985c38f5","ratingScale1",5,"one"
"30985c38f5","ratingScale2",4,"one"
"30985c38f5","ratingScale3",3,"one"
"30985c38f5","ratingScale4",4,"one"
"30985c38f5","ratingScale5",4,"one"
"30985c38f5","ratingScale6",4,"one"
"30985c38f5","ratingScale7",4,"one"
"30985c38f5","ratingScale8",4,"one"
"6164f14080","ratingScale1",4,"one"
"6164f14080","ratingScale2",3,"one"
"6164f14080","ratingScale3",3,"one"
"6164f14080","ratingScale4",3,"one"
"6164f14080","ratingScale5",3,"one"
"6164f14080","ratingScale6",1,"one"
"6164f14080","ratingScale7",3,"one"
"6164f14080","ratingScale8",3,"one"
"ef03ca6baa","ratingScale1",2,"one"
"ef03ca6baa","ratingScale2",2,"one"
"ef03ca6baa","ratingScale3",2,"one"
"ef03ca6baa","ratingScale4",3,"one"
"ef03ca6baa","ratingScale5",2,"one"
"ef03ca6baa","ratingScale6",1,"one"
"ef03ca6baa","ratingScale7",3,"one"
"ef03ca6baa","ratingScale8",2,"one"
"8ca0a594a2","ratingScale1",3,"one"
"8ca0a594a2","ratingScale2",3,"one"
"8ca0a594a2","ratingScale3",2,"one"
"8ca0a594a2","ratingScale4",3,"one"
"8ca0a594a2","ratingScale5",3,"one"
"8ca0a594a2","ratingScale6",1,"one"
"8ca0a594a2","ratingScale7",3,"one"
"8ca0a594a2","ratingScale8",3,"one"
"eb1aa3c83a","ratingScale1",3,"one"
"eb1aa3c83a","ratingScale2",3,"one"
"eb1aa3c83a","ratingScale3",2,"one"
"eb1aa3c83a","ratingScale4",3,"one"
"eb1aa3c83a","ratingScale5",3,"one"
"eb1aa3c83a","ratingScale6",1,"one"
"eb1aa3c83a","ratingScale7",3,"one"
"eb1aa3c83a","ratingScale8",2,"one"
"8407ac4658","ratingScale1",4,"one"
"8407ac4658","ratingScale2",4,"one"
"8407ac4658","ratingScale3",3,"one"
"8407ac4658","ratingScale4",4,"one"
"8407ac4658","ratingScale5",4,"one"
"8407ac4658","ratingScale6",3,"one"
"8407ac4658","ratingScale7",4,"one"
"8407ac4658","ratingScale8",3,"one"
"6faf5fcefb","ratingScale1",4,"one"
"6faf5fcefb","ratingScale2",4,"one"
"6faf5fcefb","ratingScale3",2,"one"
"6faf5fcefb","ratingScale4",3,"one"
"6faf5fcefb","ratingScale5",4,"one"
"6faf5fcefb","ratingScale6",2,"one"
"6faf5fcefb","ratingScale7",4,"one"
"6faf5fcefb","ratingScale8",5,"one"
"98646f8bd7","ratingScale1",4,"one"
"98646f8bd7","ratingScale2",3,"one"
"98646f8bd7","ratingScale3",3,"one"
"98646f8bd7","ratingScale4",3,"one"
"98646f8bd7","ratingScale5",3,"one"
"98646f8bd7","ratingScale6",1,"one"
"98646f8bd7","ratingScale7",3,"one"
"98646f8bd7","ratingScale8",2,"one"
"36bcce11a5","ratingScale1",2,"one"
"36bcce11a5","ratingScale2",2,"one"
"36bcce11a5","ratingScale3",1,"one"
"36bcce11a5","ratingScale4",2,"one"
"36bcce11a5","ratingScale5",1,"one"
"36bcce11a5","ratingScale6",1,"one"
"36bcce11a5","ratingScale7",2,"one"
"36bcce11a5","ratingScale8",2,"one"
"e50d8539c5","ratingScale1",5,"one"
"e50d8539c5","ratingScale2",4,"one"
"e50d8539c5","ratingScale3",4,"one"
"e50d8539c5","ratingScale4",4,"one"
"e50d8539c5","ratingScale5",5,"one"
"e50d8539c5","ratingScale6",4,"one"
"e50d8539c5","ratingScale7",4,"one"
"e50d8539c5","ratingScale8",4,"one"
"ece6c2961a","ratingScale1",5,"one"
"ece6c2961a","ratingScale2",3,"one"
"ece6c2961a","ratingScale3",3,"one"
"ece6c2961a","ratingScale4",4,"one"
"ece6c2961a","ratingScale5",3,"one"
"ece6c2961a","ratingScale6",2,"one"
"ece6c2961a","ratingScale7",3,"one"
"ece6c2961a","ratingScale8",3,"one"
"55c68a7a0b","ratingScale1",3,"one"
"55c68a7a0b","ratingScale2",4,"one"
"55c68a7a0b","ratingScale3",3,"one"
"55c68a7a0b","ratingScale4",3,"one"
"55c68a7a0b","ratingScale5",4,"one"
"55c68a7a0b","ratingScale6",1,"one"
"55c68a7a0b","ratingScale7",3,"one"
"55c68a7a0b","ratingScale8",3,"one"
"b7544f4b81","ratingScale1",4,"one"
"b7544f4b81","ratingScale2",3,"one"
"b7544f4b81","ratingScale3",3,"one"
"b7544f4b81","ratingScale4",3,"one"
"b7544f4b81","ratingScale5",3,"one"
"b7544f4b81","ratingScale6",1,"one"
"b7544f4b81","ratingScale7",3,"one"
"b7544f4b81","ratingScale8",4,"one"
"5ca27a2d99","ratingScale1",3,"one"
"5ca27a2d99","ratingScale2",3,"one"
"5ca27a2d99","ratingScale3",2,"one"
"5ca27a2d99","ratingScale4",3,"one"
"5ca27a2d99","ratingScale5",3,"one"
"5ca27a2d99","ratingScale6",2,"one"
"5ca27a2d99","ratingScale7",3,"one"
"5ca27a2d99","ratingScale8",2,"one"
"b5bd78c6bf","ratingScale1",3,"one"
"b5bd78c6bf","ratingScale2",3,"one"
"b5bd78c6bf","ratingScale3",2,"one"
"b5bd78c6bf","ratingScale4",3,"one"
"b5bd78c6bf","ratingScale5",3,"one"
"b5bd78c6bf","ratingScale6",2,"one"
"b5bd78c6bf","ratingScale7",4,"one"
"b5bd78c6bf","ratingScale8",3,"one"
"e3c112d8e2","ratingScale1",4,"one"
"e3c112d8e2","ratingScale2",3,"one"
"e3c112d8e2","ratingScale3",3,"one"
"e3c112d8e2","ratingScale4",3,"one"
"e3c112d8e2","ratingScale5",3,"one"
"e3c112d8e2","ratingScale6",2,"one"
"e3c112d8e2","ratingScale7",3,"one"
"e3c112d8e2","ratingScale8",2,"one"
"2a03251f05","ratingScale1",4,"one"
"2a03251f05","ratingScale2",4,"one"
"2a03251f05","ratingScale3",2,"one"
"2a03251f05","ratingScale4",3,"one"
"2a03251f05","ratingScale5",4,"one"
"2a03251f05","ratingScale6",2,"one"
"2a03251f05","ratingScale7",3,"one"
"2a03251f05","ratingScale8",2,"one"
"7d6c2b1527","ratingScale1",4,"one"
"7d6c2b1527","ratingScale2",4,"one"
"7d6c2b1527","ratingScale3",3,"one"
"7d6c2b1527","ratingScale4",4,"one"
"7d6c2b1527","ratingScale5",4,"one"
"7d6c2b1527","ratingScale6",1,"one"
"7d6c2b1527","ratingScale7",3,"one"
"7d6c2b1527","ratingScale8",3,"one"
"92eed7da02","ratingScale1",4,"one"
"92eed7da02","ratingScale2",3,"one"
"92eed7da02","ratingScale3",3,"one"
"92eed7da02","ratingScale4",3,"one"
"92eed7da02","ratingScale5",3,"one"
"92eed7da02","ratingScale6",2,"one"
"92eed7da02","ratingScale7",3,"one"
"92eed7da02","ratingScale8",2,"one"
"d9a14448fa","ratingScale1",2,"one"
"d9a14448fa","ratingScale2",2,"one"
"d9a14448fa","ratingScale3",2,"one"
"d9a14448fa","ratingScale4",3,"one"
"d9a14448fa","ratingScale5",4,"one"
"d9a14448fa","ratingScale6",4,"one"
"d9a14448fa","ratingScale7",3,"one"
"d9a14448fa","ratingScale8",3,"one"
"3a2973d660","ratingScale1",4,"one"
"3a2973d660","ratingScale2",2,"one"
"3a2973d660","ratingScale3",3,"one"
"3a2973d660","ratingScale4",3,"one"
"3a2973d660","ratingScale5",2,"one"
"3a2973d660","ratingScale6",2,"one"
"3a2973d660","ratingScale7",2,"one"
"3a2973d660","ratingScale8",2,"one"
"ab704e21df","ratingScale1",4,"one"
"ab704e21df","ratingScale2",3,"one"
"ab704e21df","ratingScale3",2,"one"
"ab704e21df","ratingScale4",4,"one"
"ab704e21df","ratingScale5",4,"one"
"ab704e21df","ratingScale6",2,"one"
"ab704e21df","ratingScale7",3,"one"
"ab704e21df","ratingScale8",3,"one"
"ed70953748","ratingScale1",4,"one"
"ed70953748","ratingScale2",3,"one"
"ed70953748","ratingScale3",2,"one"
"ed70953748","ratingScale4",3,"one"
"ed70953748","ratingScale5",3,"one"
"ed70953748","ratingScale6",1,"one"
"ed70953748","ratingScale7",4,"one"
"ed70953748","ratingScale8",3,"one"
"ba9d18a7af","ratingScale1",3,"one"
"ba9d18a7af","ratingScale2",3,"one"
"ba9d18a7af","ratingScale3",2,"one"
"ba9d18a7af","ratingScale4",3,"one"
"ba9d18a7af","ratingScale5",3,"one"
"ba9d18a7af","ratingScale6",3,"one"
"ba9d18a7af","ratingScale7",4,"one"
"ba9d18a7af","ratingScale8",2,"one"
"29fef91ea9","ratingScale1",3,"one"
"29fef91ea9","ratingScale2",2,"one"
"29fef91ea9","ratingScale3",2,"one"
"29fef91ea9","ratingScale4",3,"one"
"29fef91ea9","ratingScale5",2,"one"
"29fef91ea9","ratingScale6",2,"one"
"29fef91ea9","ratingScale7",3,"one"
"29fef91ea9","ratingScale8",2,"one"
"0b5bbf6b4d","ratingScale1",2,"one"
"0b5bbf6b4d","ratingScale2",1,"one"
"0b5bbf6b4d","ratingScale3",1,"one"
"0b5bbf6b4d","ratingScale4",2,"one"
"0b5bbf6b4d","ratingScale5",1,"one"
"0b5bbf6b4d","ratingScale6",1,"one"
"0b5bbf6b4d","ratingScale7",2,"one"
"0b5bbf6b4d","ratingScale8",2,"one"
"83ef6e943a","ratingScale1",2,"one"
"83ef6e943a","ratingScale2",2,"one"
"83ef6e943a","ratingScale3",1,"one"
"83ef6e943a","ratingScale4",2,"one"
"83ef6e943a","ratingScale5",2,"one"
"83ef6e943a","ratingScale6",1,"one"
"83ef6e943a","ratingScale7",3,"one"
"83ef6e943a","ratingScale8",2,"one"
"2512ae4eb7","ratingScale1",3,"one"
"2512ae4eb7","ratingScale2",3,"one"
"2512ae4eb7","ratingScale3",3,"one"
"2512ae4eb7","ratingScale4",3,"one"
"2512ae4eb7","ratingScale5",3,"one"
"2512ae4eb7","ratingScale6",1,"one"
"2512ae4eb7","ratingScale7",4,"one"
"2512ae4eb7","ratingScale8",2,"one"
"b00e6fcb77","ratingScale1",3,"one"
"b00e6fcb77","ratingScale2",2,"one"
"b00e6fcb77","ratingScale3",3,"one"
"b00e6fcb77","ratingScale4",3,"one"
"b00e6fcb77","ratingScale5",1,"one"
"b00e6fcb77","ratingScale6",1,"one"
"b00e6fcb77","ratingScale7",2,"one"
"b00e6fcb77","ratingScale8",2,"one"
"7ab93992ce","ratingScale1",2,"one"
"7ab93992ce","ratingScale2",1,"one"
"7ab93992ce","ratingScale3",1,"one"
"7ab93992ce","ratingScale4",2,"one"
"7ab93992ce","ratingScale5",1,"one"
"7ab93992ce","ratingScale6",1,"one"
"7ab93992ce","ratingScale7",2,"one"
"7ab93992ce","ratingScale8",2,"one"
"53be0ded55","ratingScale1",2,"one"
"53be0ded55","ratingScale2",2,"one"
"53be0ded55","ratingScale3",1,"one"
"53be0ded55","ratingScale4",2,"one"
"53be0ded55","ratingScale5",2,"one"
"53be0ded55","ratingScale6",1,"one"
"53be0ded55","ratingScale7",2,"one"
"53be0ded55","ratingScale8",2,"one"
"63b32bc483","ratingScale1",3,"one"
"63b32bc483","ratingScale2",2,"one"
"63b32bc483","ratingScale3",1,"one"
"63b32bc483","ratingScale4",3,"one"
"63b32bc483","ratingScale5",2,"one"
"63b32bc483","ratingScale6",1,"one"
"63b32bc483","ratingScale7",2,"one"
"63b32bc483","ratingScale8",2,"one"
"12f1da2ca7","ratingScale1",3,"one"
"12f1da2ca7","ratingScale2",2,"one"
"12f1da2ca7","ratingScale3",2,"one"
"12f1da2ca7","ratingScale4",3,"one"
"12f1da2ca7","ratingScale5",3,"one"
"12f1da2ca7","ratingScale6",1,"one"
"12f1da2ca7","ratingScale7",3,"one"
"12f1da2ca7","ratingScale8",3,"one"
"7932f500bf","ratingScale1",4,"one"
"7932f500bf","ratingScale2",2,"one"
"7932f500bf","ratingScale3",1,"one"
"7932f500bf","ratingScale4",3,"one"
"7932f500bf","ratingScale5",4,"one"
"7932f500bf","ratingScale6",1,"one"
"7932f500bf","ratingScale7",3,"one"
"7932f500bf","ratingScale8",2,"one"
"c4316f44d6","ratingScale1",2,"one"
"c4316f44d6","ratingScale2",1,"one"
"c4316f44d6","ratingScale3",1,"one"
"c4316f44d6","ratingScale4",2,"one"
"c4316f44d6","ratingScale5",1,"one"
"c4316f44d6","ratingScale6",3,"one"
"c4316f44d6","ratingScale7",3,"one"
"c4316f44d6","ratingScale8",2,"one"
"2a3126bbd8","ratingScale1",4,"one"
"2a3126bbd8","ratingScale2",3,"one"
"2a3126bbd8","ratingScale3",1,"one"
"2a3126bbd8","ratingScale4",3,"one"
"2a3126bbd8","ratingScale5",3,"one"
"2a3126bbd8","ratingScale6",1,"one"
"2a3126bbd8","ratingScale7",3,"one"
"2a3126bbd8","ratingScale8",4,"one"
"4347cd3956","ratingScale1",4,"one"
"4347cd3956","ratingScale2",3,"one"
"4347cd3956","ratingScale3",2,"one"
"4347cd3956","ratingScale4",3,"one"
"4347cd3956","ratingScale5",3,"one"
"4347cd3956","ratingScale6",2,"one"
"4347cd3956","ratingScale7",3,"one"
"4347cd3956","ratingScale8",4,"one"
"eba4bcc9f9","ratingScale1",0,"one"
"eba4bcc9f9","ratingScale2",0,"one"
"eba4bcc9f9","ratingScale3",0,"one"
"eba4bcc9f9","ratingScale4",0,"one"
"eba4bcc9f9","ratingScale5",0,"one"
"eba4bcc9f9","ratingScale6",0,"one"
"eba4bcc9f9","ratingScale7",0,"one"
"eba4bcc9f9","ratingScale8",0,"one"
"8b28f596d8","ratingScale1",2,"one"
"8b28f596d8","ratingScale2",2,"one"
"8b28f596d8","ratingScale3",1,"one"
"8b28f596d8","ratingScale4",2,"one"
"8b28f596d8","ratingScale5",2,"one"
"8b28f596d8","ratingScale6",1,"one"
"8b28f596d8","ratingScale7",3,"one"
"8b28f596d8","ratingScale8",2,"one"
"2d85232262","ratingScale1",4,"one"
"2d85232262","ratingScale2",2,"one"
"2d85232262","ratingScale3",2,"one"
"2d85232262","ratingScale4",3,"one"
"2d85232262","ratingScale5",3,"one"
"2d85232262","ratingScale6",2,"one"
"2d85232262","ratingScale7",3,"one"
"2d85232262","ratingScale8",3,"one"
"48fa8051c0","ratingScale1",4,"one"
"48fa8051c0","ratingScale2",3,"one"
"48fa8051c0","ratingScale3",3,"one"
"48fa8051c0","ratingScale4",3,"one"
"48fa8051c0","ratingScale5",4,"one"
"48fa8051c0","ratingScale6",2,"one"
"48fa8051c0","ratingScale7",3,"one"
"48fa8051c0","ratingScale8",2,"one"
"e8cadd91bd","ratingScale1",2,"one"
"e8cadd91bd","ratingScale2",1,"one"
"e8cadd91bd","ratingScale3",1,"one"
"e8cadd91bd","ratingScale4",2,"one"
"e8cadd91bd","ratingScale5",1,"one"
"e8cadd91bd","ratingScale6",2,"one"
"e8cadd91bd","ratingScale7",2,"one"
"e8cadd91bd","ratingScale8",3,"one"
"61d55784f9","ratingScale1",3,"one"
"61d55784f9","ratingScale2",2,"one"
"61d55784f9","ratingScale3",2,"one"
"61d55784f9","ratingScale4",3,"one"
"61d55784f9","ratingScale5",2,"one"
"61d55784f9","ratingScale6",2,"one"
"61d55784f9","ratingScale7",3,"one"
"61d55784f9","ratingScale8",2,"one"
"0afc896b07","ratingScale1",4,"one"
"0afc896b07","ratingScale2",2,"one"
"0afc896b07","ratingScale3",1,"one"
"0afc896b07","ratingScale4",3,"one"
"0afc896b07","ratingScale5",2,"one"
"0afc896b07","ratingScale6",1,"one"
"0afc896b07","ratingScale7",3,"one"
"0afc896b07","ratingScale8",2,"one"
"da350abd9a","ratingScale1",2,"one"
"da350abd9a","ratingScale2",1,"one"
"da350abd9a","ratingScale3",1,"one"
"da350abd9a","ratingScale4",2,"one"
"da350abd9a","ratingScale5",1,"one"
"da350abd9a","ratingScale6",1,"one"
"da350abd9a","ratingScale7",2,"one"
"da350abd9a","ratingScale8",2,"one"
"a81edbfe14","ratingScale1",4,"one"
"a81edbfe14","ratingScale2",3,"one"
"a81edbfe14","ratingScale3",2,"one"
"a81edbfe14","ratingScale4",2,"one"
"a81edbfe14","ratingScale5",3,"one"
"a81edbfe14","ratingScale6",1,"one"
"a81edbfe14","ratingScale7",3,"one"
"a81edbfe14","ratingScale8",2,"one"
"12cc7f2e49","ratingScale1",4,"one"
"12cc7f2e49","ratingScale2",3,"one"
"12cc7f2e49","ratingScale3",3,"one"
"12cc7f2e49","ratingScale4",4,"one"
"12cc7f2e49","ratingScale5",4,"one"
"12cc7f2e49","ratingScale6",2,"one"
"12cc7f2e49","ratingScale7",3,"one"
"12cc7f2e49","ratingScale8",2,"one"
"037e9a78ff","ratingScale1",4,"one"
"037e9a78ff","ratingScale2",3,"one"
"037e9a78ff","ratingScale3",2,"one"
